133,816932,Female
139,1038437,Male
133,965353,Male
137,951545,Female
99,928799,Female
138,991305,Female
92,854258,Female
89,904858,Male
133,955466,Male
132,833868,Female
141,1079549,Male
135,924059,Male
140,856472,Female
96,878897,Female
83,865363,Female
132,852244,Female
100,945088,Male
101,808020,Female
80,889083,Male
97,905940,Male
135,790619,Female
139,955003,Male
91,831772,Female
141,935494,Male
85,798612,Female
103,1062462,Male
77,793549,Female
130,866662,Female
133,857782,Female
144,949589,Male
103,997925,Male
90,879987,Male
83,834344,Female
133,948066,Female
140,949395,Male
88,893983,Female
81,930016,Male
89,935863,Male
